order_id,customer_id,order_date,product_id,quantity,delivery_status
90109,23,28/04/2022,P08,2,Processing
90110,40,16/04/2022,P30,2,Processing
90111,73,17/09/2022,P03,3,Processing
90112,55,19/01/2023,P37,3,Delivered
90113,62,24/11/2022,P16,3,Processing
90114,3,04/10/2022,P27,1,Processing
90115,15,12/08/2022,P15,3,Shipped
90116,94,21/05/2022,P05,1,Delivered
90117,46,20/01/2023,P25,2,Shipped
90118,43,18/11/2022,P16,2,Delivered
90119,62,15/03/2023,P10,3,Shipped
90120,17,16/04/2022,P32,2,Processing
90121,51,16/05/2022,P19,1,Delivered
90122,12,10/01/2022,P18,2,Delivered
90123,4,26/11/2022,P31,2,Delivered
90124,10,06/04/2022,P06,3,Shipped
90125,84,26/08/2022,P19,3,Processing
90126,72,01/04/2022,P37,3,Delivered
90127,50,24/03/2022,P04,3,Shipped
90128,90,07/10/2022,P24,3,Delivered
90129,63,24/02/2023,P37,2,Shipped
90130,15,15/07/2022,P38,3,Delivered
90131,84,29/09/2022,P09,2,Delivered
90132,3,08/12/2022,P31,3,Shipped
90133,61,04/08/2022,P14,1,Delivered
90134,3,08/10/2022,P27,2,Shipped
90135,99,20/09/2022,P25,2,Processing
90136,79,28/08/2022,P30,1,Processing
90137,3,14/12/2022,P02,2,Delivered
90138,30,15/04/2022,P14,2,Processing
90139,16,25/09/2022,P31,1,Shipped
90140,31,02/09/2022,P07,3,Processing
90141,50,28/10/2022,P33,3,Shipped
90142,34,27/10/2022,P24,1,Delivered
90143,44,14/05/2022,P39,2,Shipped
90144,71,05/10/2022,P25,1,Delivered
90145,45,31/03/2023,P10,1,Shipped
90146,7,13/03/2022,P37,2,Delivered
90147,1,05/01/2023,P40,2,Delivered
90148,65,24/01/2023,P20,2,Processing
90149,9,13/12/2022,P19,1,Delivered
90150,59,02/01/2022,P33,1,Delivered
90151,26,30/10/2022,P08,2,Shipped
90152,71,17/02/2023,P10,1,Processing
90153,72,05/05/2022,P01,2,Shipped
90154,100,22/08/2022,P10,2,Processing
90155,56,24/11/2022,P21,2,Shipped
90156,74,10/12/2022,P17,1,Processing
90157,47,28/01/2022,P22,2,Shipped
90158,56,19/05/2022,P30,2,Delivered
90159,84,05/02/2023,P04,2,Delivered
90160,55,16/01/2023,P39,2,Processing
90161,26,10/02/2023,P33,2,Processing
90162,3,02/08/2022,P07,3,Processing
90163,18,02/01/2022,P34,1,Delivered
90164,22,03/02/2023,P28,2,Shipped
90165,11,24/08/2022,P07,3,Shipped
90166,92,25/10/2022,P32,2,Delivered
90167,77,29/11/2022,P21,2,Delivered
90168,56,06/03/2022,P13,2,Delivered
90169,28,24/03/2023,P20,3,Processing
90170,88,29/12/2022,P39,3,Shipped
90171,36,17/10/2022,P14,1,Processing
90172,36,22/11/2022,P13,1,Delivered
90173,93,20/06/2022,P10,1,Delivered
90174,70,25/02/2022,P27,3,Shipped
90175,13,17/11/2022,P15,2,Processing
90176,88,24/02/2022,P03,3,Delivered
90177,27,16/06/2022,P36,1,Delivered
90178,44,28/02/2022,P40,1,Shipped
90179,8,22/06/2022,P10,1,Processing
90180,7,20/04/2022,P11,1,Delivered
90181,47,21/12/2022,P13,2,Delivered
90182,21,31/07/2022,P02,1,Processing
90183,74,06/03/2023,P24,2,Shipped
90184,80,04/01/2022,P30,2,Delivered
90185,16,07/03/2023,P03,2,Shipped
90186,12,06/01/2022,P16,2,Shipped
90187,91,07/06/2022,P07,2,Delivered
90188,40,30/06/2022,P15,1,Shipped
90189,34,16/09/2022,P14,1,Delivered
90190,32,26/01/2022,P15,3,Processing
90191,73,22/03/2022,P21,3,Processing
90192,6,23/10/2022,P06,1,Processing
90193,73,04/04/2022,P33,2,Shipped
90194,86,07/05/2022,P30,1,Delivered
90195,36,29/10/2022,P16,1,Delivered
90196,9,25/02/2023,P08,1,Delivered
90197,58,19/07/2022,P12,3,Processing
90198,83,07/07/2022,P19,2,Processing
90199,5,06/06/2022,P06,3,Delivered
90200,18,25/09/2022,P33,2,Delivered
90201,10,05/10/2022,P11,1,Shipped
90202,20,27/09/2022,P12,2,Delivered
90203,80,15/03/2022,P04,3,Shipped
90204,94,25/06/2022,P36,1,Shipped
90205,22,28/06/2022,P26,3,Shipped
90206,98,03/01/2023,P35,1,Shipped
90207,46,04/02/2022,P18,2,Delivered
90208,25,09/05/2022,P20,2,Shipped
90209,17,08/09/2022,P05,2,Shipped
90210,47,31/10/2022,P18,2,Delivered
90211,22,26/04/2022,P07,1,Processing
90212,70,05/06/2022,P23,3,Processing
90213,87,11/04/2022,P38,2,Processing
90214,85,25/06/2022,P33,3,Processing
90215,94,02/04/2022,P06,2,Delivered
90216,39,03/06/2022,P16,2,Shipped
90217,86,26/08/2022,P03,1,Delivered
90218,10,13/02/2023,P08,1,Processing
90219,97,25/05/2022,P34,1,Processing
90220,45,03/05/2022,P30,1,Delivered
90221,71,13/03/2022,P20,2,Shipped
90222,42,24/11/2022,P23,2,Processing
90223,84,29/07/2022,P05,1,Shipped
90224,99,07/02/2022,P20,1,Delivered
90225,18,01/01/2023,P05,2,Delivered
90226,60,04/10/2022,P35,1,Shipped
90227,68,03/09/2022,P12,2,Delivered
90228,43,13/07/2022,P32,1,Processing
90229,31,19/01/2023,P23,1,Delivered
90230,9,13/03/2022,P35,1,Delivered
90231,38,12/02/2023,P26,2,Delivered
90232,92,30/03/2022,P02,1,Processing
90233,64,28/12/2022,P31,2,Processing
90234,41,22/05/2022,P16,2,Shipped
90235,21,23/07/2022,P21,2,Processing
90236,16,14/04/2022,P07,3,Shipped
90237,51,02/07/2022,P19,3,Processing
90238,12,27/09/2022,P34,2,Shipped
90239,33,03/06/2022,P30,2,Delivered
90240,84,24/03/2023,P38,3,Delivered
90241,54,23/07/2022,P10,1,Processing
90242,14,17/01/2022,P33,1,Delivered
90243,62,30/09/2022,P40,2,Processing
90244,90,08/01/2022,P03,3,Processing
90245,20,23/12/2022,P02,1,Shipped
90246,18,30/01/2023,P23,1,Delivered
90247,47,10/03/2023,P15,3,Shipped
90248,83,18/12/2022,P36,2,Processing
90249,44,11/07/2022,P16,3,Shipped
90250,51,02/01/2022,P12,3,Processing
90251,75,11/10/2022,P37,3,Delivered
90252,17,27/02/2023,P39,2,Shipped
90253,1,14/06/2022,P23,1,Delivered
90254,79,13/09/2022,P11,3,Shipped
90255,90,28/03/2023,P25,1,Processing
90256,88,28/04/2022,P20,2,Delivered
90257,63,03/06/2022,P29,1,Delivered
90258,48,14/03/2023,P17,2,Shipped
90259,16,19/12/2022,P17,3,Shipped
90260,53,07/03/2023,P17,1,Delivered
90261,60,02/06/2022,P23,3,Delivered
90262,10,06/12/2022,P31,1,Processing
90263,33,05/09/2022,P17,2,Delivered
90264,2,01/05/2022,P01,3,Processing
90265,83,16/11/2022,P33,1,Shipped
90266,66,20/06/2022,P10,2,Processing
90267,85,08/01/2022,P33,2,Processing
90268,85,04/02/2023,P26,1,Delivered
90269,93,10/11/2022,P23,3,Shipped
90270,92,15/03/2023,P02,3,Shipped
90271,5,14/05/2022,P05,3,Delivered
90272,12,09/03/2023,P28,3,Delivered
90273,52,12/10/2022,P22,1,Delivered
90274,65,18/11/2022,P01,3,Shipped
90275,45,18/11/2022,P25,2,Delivered
90276,29,07/04/2022,P01,1,Shipped
90277,7,04/04/2022,P28,2,Shipped
90278,39,07/02/2022,P06,3,Shipped
90279,79,25/02/2022,P20,1,Shipped
90280,49,07/05/2022,P30,1,Shipped
90281,83,18/11/2022,P34,3,Shipped
90282,57,21/12/2022,P20,1,Delivered
90283,69,28/02/2023,P04,3,Shipped
90284,98,31/08/2022,P16,3,Delivered
90285,66,14/09/2022,P02,2,Shipped
90286,83,22/05/2022,P08,2,Processing
90287,75,11/01/2023,P24,1,Processing
90288,81,25/06/2022,P25,1,Delivered
90289,40,23/08/2022,P39,3,Shipped
90290,70,01/01/2023,P18,3,Shipped
90291,36,01/01/2022,P05,3,Delivered
90292,94,28/12/2022,P12,2,Processing
90293,30,12/12/2022,P32,1,Delivered
90294,27,11/03/2023,P10,2,Processing
90295,98,15/09/2022,P18,3,Delivered
90296,11,05/02/2023,P19,3,Shipped
90297,87,16/04/2022,P04,2,Delivered
90298,59,12/06/2022,P17,1,Delivered
90299,79,03/03/2023,P04,2,Processing
90300,62,22/06/2022,P01,1,Delivered
90301,94,27/08/2022,P14,1,Shipped
90302,20,13/07/2022,P16,3,Shipped
90303,74,23/07/2022,P38,1,Shipped
90304,2,28/03/2023,P25,1,Shipped
90305,24,13/03/2022,P20,3,Processing
90306,6,29/08/2022,P38,2,Processing
90307,27,01/02/2022,P01,2,Processing
90308,56,25/04/2022,P29,2,Delivered
90309,24,19/03/2023,P14,1,Shipped
90310,51,25/10/2022,P13,2,Delivered
90311,76,20/02/2023,P32,3,Delivered
90312,8,30/03/2022,P21,1,Shipped
90313,52,04/01/2022,P25,3,Delivered
90314,83,27/03/2023,P09,2,Delivered
90315,38,10/01/2023,P16,1,Shipped
90316,31,12/09/2022,P13,1,Processing
90317,58,11/05/2022,P07,3,Processing
90318,55,21/09/2022,P02,1,Delivered
90319,74,03/01/2022,P06,3,Processing
90320,12,14/01/2022,P40,1,Delivered
90321,96,15/02/2023,P37,2,Shipped
90322,79,07/06/2022,P23,2,Delivered
90323,24,05/02/2023,P30,3,Processing
90324,77,13/02/2023,P21,2,Delivered
90325,22,01/10/2022,P31,2,Shipped
90326,29,20/09/2022,P27,1,Delivered
90327,92,16/02/2022,P05,3,Shipped
90328,76,19/01/2023,P11,3,Processing
90329,26,14/07/2022,P04,3,Processing
90330,88,29/01/2022,P12,3,Shipped
90331,51,08/06/2022,P30,2,Delivered
90332,38,20/02/2022,P17,1,Processing
90333,41,22/01/2022,P02,2,Shipped
90334,99,11/11/2022,P35,1,Delivered
90335,73,31/05/2022,P32,1,Delivered
90336,89,10/08/2022,P16,2,Processing
90337,32,15/12/2022,P23,2,Shipped
90338,54,15/10/2022,P31,3,Processing
90339,73,19/06/2022,P32,2,Shipped
90340,15,11/04/2022,P40,2,Processing
90341,9,10/10/2022,P24,2,Processing
90342,45,27/02/2022,P15,2,Delivered
90343,1,07/03/2023,P22,3,Processing
90344,6,19/02/2022,P37,1,Shipped
90345,68,20/04/2022,P12,3,Processing
90346,86,04/02/2023,P36,3,Delivered
90347,14,29/10/2022,P12,2,Delivered
90348,87,21/07/2022,P35,3,Delivered
90349,12,15/02/2022,P08,3,Delivered
90350,91,24/07/2022,P37,3,Shipped
90351,60,12/08/2022,P31,3,Processing
90352,46,23/01/2022,P20,2,Shipped
90353,75,19/10/2022,P35,1,Processing
90354,21,11/10/2022,P39,1,Processing
90355,39,31/10/2022,P39,3,Delivered
90356,75,30/07/2022,P22,1,Delivered
90357,91,09/10/2022,P21,2,Delivered
90358,85,24/10/2022,P10,2,Delivered
90359,82,14/04/2022,P04,2,Shipped
90360,87,27/07/2022,P07,3,Shipped
90361,66,24/03/2023,P11,2,Processing
90362,34,14/08/2022,P10,2,Delivered
90363,44,01/01/2023,P22,3,Shipped
90364,14,11/03/2022,P35,1,Delivered
90365,85,08/01/2023,P16,3,Processing
90366,36,23/08/2022,P37,2,Processing
90367,39,30/08/2022,P26,1,Delivered
90368,56,20/07/2022,P27,2,Processing
90369,44,05/04/2022,P21,2,Processing
90370,32,23/06/2022,P06,3,Delivered
90371,25,22/06/2022,P23,1,Delivered
90372,56,26/01/2022,P07,3,Processing
90373,61,14/03/2022,P12,3,Processing
90374,4,19/10/2022,P32,2,Delivered
90375,69,26/03/2022,P22,1,Processing
90376,26,04/02/2023,P24,2,Delivered
90377,79,15/02/2023,P26,1,Delivered
90378,22,27/01/2023,P17,3,Processing
90379,31,13/05/2022,P07,1,Delivered
90380,99,26/05/2022,P32,3,Shipped
90381,85,12/06/2022,P40,2,Processing
90382,64,04/06/2022,P07,2,Processing
90383,52,13/09/2022,P08,2,Delivered
90384,35,04/05/2022,P24,1,Shipped
90385,67,24/11/2022,P32,1,Processing
90386,63,06/10/2022,P22,2,Shipped
90387,74,15/02/2022,P04,3,Shipped
90388,8,19/02/2023,P19,2,Delivered
90389,11,24/02/2022,P25,3,Delivered
90390,85,12/01/2023,P38,2,Delivered
90391,57,06/01/2022,P29,2,Shipped
90392,73,07/08/2022,P01,3,Shipped
90393,4,18/08/2022,P04,1,Delivered
90394,60,19/08/2022,P23,1,Shipped
90395,62,18/12/2022,P06,2,Delivered
90396,15,25/02/2022,P20,3,Processing
90397,51,17/04/2022,P10,1,Shipped
90398,85,26/12/2022,P04,1,Shipped
90399,53,16/01/2023,P01,2,Delivered
90400,93,12/06/2022,P22,1,Processing
90401,57,27/09/2022,P09,3,Delivered
90402,37,28/12/2022,P27,1,Shipped
90403,57,21/02/2023,P32,3,Processing
90404,7,24/06/2022,P05,3,Processing
90405,2,12/09/2022,P40,2,Shipped
90406,43,24/11/2022,P26,2,Shipped
90407,88,28/08/2022,P02,1,Shipped
90408,87,15/04/2022,P06,1,Processing
90409,84,07/03/2022,P40,3,Processing
90410,85,28/04/2022,P35,1,Processing
90411,89,13/02/2022,P19,3,Processing
90412,16,24/04/2022,P22,3,Processing
90413,22,30/03/2023,P28,2,Processing
90414,84,14/05/2022,P11,1,Processing
90415,37,12/07/2022,P31,3,Delivered
90416,36,10/11/2022,P37,1,Delivered
90417,53,31/10/2022,P11,2,Shipped
90418,75,03/02/2023,P04,2,Delivered
90419,45,02/01/2022,P06,1,Shipped
90420,32,11/03/2022,P27,2,Delivered
90421,95,23/06/2022,P13,3,Processing
90422,51,11/10/2022,P39,2,Delivered
90423,8,28/08/2022,P14,1,Shipped
90424,33,29/03/2022,P21,3,Shipped
90425,29,16/10/2022,P04,1,Processing
90426,42,29/12/2022,P31,3,Delivered
90427,97,22/07/2022,P16,3,Delivered
90428,37,24/05/2022,P14,3,Delivered
90429,12,29/01/2023,P27,2,Processing
90430,11,17/07/2022,P15,2,Delivered
90431,87,22/09/2022,P21,2,Delivered
90432,13,08/05/2022,P11,1,Delivered
90433,58,16/01/2022,P09,3,Delivered
90434,40,26/03/2023,P21,3,Processing
90435,84,12/07/2022,P38,3,Processing
90436,35,26/04/2022,P34,3,Processing
90437,85,29/01/2022,P07,3,Processing
90438,67,23/10/2022,P24,1,Delivered
90439,23,26/02/2023,P06,1,Delivered
90440,76,13/01/2023,P32,3,Shipped
90441,93,22/05/2022,P18,1,Processing
90442,76,02/04/2022,P21,3,Processing
90443,11,27/02/2022,P36,2,Processing
90444,80,31/05/2022,P28,3,Delivered
90445,17,09/06/2022,P24,3,Shipped
90446,19,22/06/2022,P13,3,Delivered
90447,7,28/06/2022,P28,3,Processing
90448,28,15/07/2022,P16,2,Shipped
90449,89,17/03/2023,P01,3,Shipped
90450,41,19/08/2022,P18,2,Delivered
90451,24,08/10/2022,P15,3,Shipped
90452,14,05/06/2022,P15,2,Delivered
90453,45,03/10/2022,P03,3,Shipped
90454,73,03/01/2022,P11,1,Delivered
90455,22,03/09/2022,P17,1,Delivered
90456,26,17/09/2022,P24,2,Delivered
90457,26,04/03/2022,P36,1,Shipped
90458,81,28/01/2023,P16,2,Delivered
90459,42,09/06/2022,P09,2,Processing
90460,23,07/01/2023,P15,1,Delivered
90461,66,16/03/2022,P19,1,Delivered
90462,42,19/03/2023,P36,2,Delivered
90463,43,13/08/2022,P11,2,Processing
90464,91,11/11/2022,P05,3,Shipped
90465,26,24/12/2022,P11,1,Shipped
90466,33,30/07/2022,P40,2,Shipped
90467,85,08/01/2023,P31,3,Delivered
90468,50,11/12/2022,P12,1,Processing
90469,33,19/01/2022,P27,3,Shipped
90470,67,14/03/2022,P11,3,Delivered
90471,90,28/01/2023,P31,3,Processing
90472,85,19/06/2022,P36,1,Shipped
90473,31,26/07/2022,P26,1,Shipped
90474,49,02/11/2022,P39,1,Shipped
90475,58,03/03/2022,P34,3,Delivered
90476,40,24/01/2022,P24,2,Shipped
90477,25,22/09/2022,P19,3,Delivered
90478,3,18/01/2023,P26,1,Processing
90479,30,23/03/2023,P27,1,Shipped
90480,59,22/01/2023,P38,1,Delivered
90481,76,11/10/2022,P28,3,Delivered
90482,65,11/04/2022,P40,1,Shipped
90483,45,12/04/2022,P33,3,Processing
90484,82,07/06/2022,P08,3,Delivered
90485,56,08/04/2022,P14,1,Shipped
90486,100,23/09/2022,P12,2,Shipped
90487,30,09/01/2022,P06,1,Shipped
90488,17,18/12/2022,P15,1,Delivered
90489,69,18/01/2023,P26,3,Shipped
90490,4,08/02/2023,P26,2,Delivered
90491,96,08/08/2022,P28,3,Processing
90492,20,01/09/2022,P29,2,Shipped
90493,88,05/03/2022,P29,1,Shipped
90494,88,13/12/2022,P39,1,Shipped
90495,95,08/06/2022,P14,2,Processing
90496,58,19/01/2022,P02,3,Processing
90497,46,28/07/2022,P24,3,Shipped
90498,51,28/09/2022,P17,2,Processing
90499,35,24/11/2022,P21,3,Delivered
90500,59,02/10/2022,P23,3,Delivered
90501,85,09/11/2022,P40,3,Processing
90502,18,04/01/2023,P08,2,Processing
90503,60,20/03/2023,P08,2,Shipped
90504,42,28/05/2022,P36,2,Processing
90505,86,08/01/2022,P24,2,Processing
90506,36,01/07/2022,P27,2,Delivered
90507,84,17/02/2023,P30,2,Delivered
90508,34,18/04/2022,P03,1,Processing
90509,83,10/07/2022,P34,3,Processing
90510,11,13/02/2023,P20,3,Shipped
90511,69,03/07/2022,P36,2,Shipped
90512,80,12/03/2022,P24,3,Shipped
90513,55,16/07/2022,P10,2,Delivered
90514,46,26/09/2022,P09,2,Delivered
90515,97,11/03/2023,P06,2,Processing
90516,50,11/01/2022,P32,1,Processing
90517,65,02/05/2022,P40,2,Processing
90518,13,03/03/2023,P24,1,Delivered
90519,9,21/05/2022,P19,1,Processing
90520,100,16/06/2022,P20,1,Shipped
90521,34,31/08/2022,P40,1,Processing
90522,80,11/12/2022,P08,3,Shipped
90523,77,16/02/2022,P30,1,Delivered
90524,73,09/02/2022,P04,2,Shipped
90525,92,20/03/2023,P25,3,Shipped
90526,94,23/05/2022,P16,2,Processing
90527,92,31/08/2022,P31,2,Processing
90528,35,25/01/2023,P37,1,Processing
90529,12,29/10/2022,P17,3,Processing
90530,23,17/08/2022,P20,3,Processing
90531,68,21/03/2022,P07,1,Processing
90532,30,07/04/2022,P05,3,Delivered
90533,67,28/11/2022,P19,3,Processing
90534,33,19/02/2023,P09,1,Delivered
90535,4,16/06/2022,P35,3,Delivered
90536,49,01/01/2023,P12,1,Delivered
90537,78,20/12/2022,P12,2,Delivered
90538,38,04/01/2023,P28,2,Processing
90539,31,12/08/2022,P06,3,Delivered
90540,82,18/01/2023,P40,1,Processing
90541,88,03/01/2023,P28,3,Delivered
90542,35,03/01/2023,P04,3,Shipped
90543,77,28/03/2023,P30,2,Processing
90544,39,19/04/2022,P24,1,Processing
90545,2,28/08/2022,P26,3,Processing
90546,13,01/10/2022,P28,2,Shipped
90547,90,19/02/2022,P12,3,Processing
90548,66,04/09/2022,P05,3,Shipped
90549,14,28/08/2022,P05,2,Processing
90550,21,24/06/2022,P11,2,Shipped
90551,15,29/06/2022,P31,3,Delivered
90552,66,17/01/2023,P05,2,Processing
90553,93,18/07/2022,P38,1,Processing
90554,12,04/06/2022,P23,2,Delivered
90555,56,27/02/2023,P22,2,Processing
90556,21,26/03/2023,P14,2,Processing
90557,11,01/06/2022,P38,1,Processing
90558,54,22/05/2022,P29,2,Processing
90559,84,23/11/2022,P25,1,Delivered
90560,83,17/04/2022,P38,1,Processing
90561,9,28/02/2022,P04,1,Shipped
90562,32,18/09/2022,P23,2,Delivered
90563,45,26/03/2023,P22,2,Shipped
90564,35,01/01/2022,P38,2,Delivered
90565,60,26/09/2022,P28,3,Delivered
90566,84,10/03/2022,P34,3,Delivered
90567,74,28/10/2022,P38,1,Delivered
90568,18,18/01/2022,P28,2,Shipped
90569,60,21/11/2022,P11,2,Processing
90570,44,07/09/2022,P36,1,Shipped
90571,12,21/09/2022,P02,3,Delivered
90572,86,13/08/2022,P34,3,Shipped
90573,63,11/02/2022,P05,3,Processing
90574,99,27/03/2023,P14,3,Shipped
90575,68,27/08/2022,P36,1,Delivered
90576,61,15/01/2023,P29,1,Shipped
90577,28,19/09/2022,P39,1,Processing
90578,57,16/03/2023,P14,2,Delivered
90579,55,10/10/2022,P31,2,Delivered
90580,93,14/06/2022,P27,2,Delivered
90581,84,22/12/2022,P36,3,Delivered
90582,44,02/09/2022,P24,1,Delivered
90583,95,14/07/2022,P25,2,Processing
90584,84,01/03/2023,P19,3,Delivered
90585,97,08/04/2022,P36,3,Processing
90586,27,17/08/2022,P27,1,Delivered
90587,90,27/01/2023,P33,1,Processing
90588,11,26/02/2023,P17,2,Delivered
90589,100,14/08/2022,P02,2,Delivered
90590,29,10/02/2022,P10,2,Shipped
90591,77,20/03/2022,P24,2,Processing
90592,80,27/11/2022,P17,3,Processing
90593,13,21/02/2022,P04,1,Shipped
90594,81,28/09/2022,P30,3,Delivered
90595,36,22/04/2022,P22,3,Delivered
90596,76,11/04/2022,P06,2,Delivered
90597,55,22/02/2022,P21,1,Delivered
90598,97,09/02/2023,P22,1,Shipped
90599,54,06/07/2022,P33,2,Processing
90600,25,15/09/2022,P07,1,Processing
90601,126,16/02/2022,P04,3,Shipped
90602,120,03/05/2023,P02,2,Delivered
90603,122,08/12/2022,P04,1,Delivered
90604,120,02/11/2022,P04,3,Shipped
90605,111,06/01/2023,P02,3,Delivered
90606,102,03/03/2023,P03,2,Shipped
90607,108,21/01/2023,P01,1,Delivered
90608,105,10/04/2023,P01,3,Shipped
90609,110,23/06/2023,P04,2,Shipped
90610,113,07/06/2023,P03,1,Shipped
90611,112,03/10/2023,P01,1,Shipped
90612,105,04/01/2023,P02,1,Delivered
90613,117,03/02/2022,P01,3,Delivered
90614,102,07/04/2022,P03,3,Processing
90615,109,28/08/2022,P01,1,Delivered
90616,115,14/11/2023,P04,3,Delivered
90617,113,12/07/2023,P02,2,Processing
90618,114,14/10/2022,P03,2,Processing
90619,112,28/07/2023,P03,1,Processing
90620,115,21/06/2023,P04,1,Processing
90621,115,16/02/2022,P04,1,Delivered
90622,102,18/11/2022,P03,1,Processing
90623,125,06/02/2023,P04,1,Processing
90624,117,15/12/2023,P02,3,Shipped
90625,105,11/08/2023,P01,2,Shipped
90626,112,31/10/2022,P03,3,Shipped
90627,124,22/06/2023,P03,2,Shipped
90628,105,30/08/2023,P02,3,Shipped
90629,121,10/07/2022,P01,2,Delivered
90630,104,27/01/2022,P01,2,Shipped
90631,111,02/08/2022,P03,2,Processing
90632,113,25/11/2022,P01,1,Shipped
90633,102,24/11/2022,P02,1,Delivered
90634,125,12/08/2023,P02,2,Shipped
90635,104,06/11/2023,P02,3,Shipped
90636,105,23/10/2022,P03,1,Shipped
90637,105,10/06/2023,P04,3,Processing
90638,105,26/01/2023,P02,2,Delivered
90639,126,04/06/2023,P04,2,Delivered
90640,123,02/12/2022,P04,1,Shipped
90641,116,16/06/2022,P02,3,Shipped
90642,108,21/05/2023,P04,2,Processing
